File: patch_embed_proj_conv1_input.npy
Cin count: 48
Average sparsity: 0.804845
Cin sparsity per channel:
  Cin 0: 0.851318
  Cin 1: 0.829590
  Cin 2: 0.694824
  Cin 3: 0.806274
  Cin 4: 0.964722
  Cin 5: 0.585083
  Cin 6: 0.804443
  Cin 7: 0.776855
  Cin 8: 0.772461
  Cin 9: 0.757935
  Cin 10: 0.815063
  Cin 11: 0.805054
  Cin 12: 0.910034
  Cin 13: 0.756226
  Cin 14: 0.609619
  Cin 15: 0.901001
  Cin 16: 0.728638
  Cin 17: 0.837280
  Cin 18: 0.937012
  Cin 19: 0.843994
  Cin 20: 0.792358
  Cin 21: 0.900024
  Cin 22: 0.738037
  Cin 23: 0.967896
  Cin 24: 0.916870
  Cin 25: 0.911133
  Cin 26: 0.704834
  Cin 27: 0.805908
  Cin 28: 0.745483
  Cin 29: 0.744873
  Cin 30: 0.813477
  Cin 31: 0.838257
  Cin 32: 0.916382
  Cin 33: 0.857056
  Cin 34: 0.877686
  Cin 35: 0.765259
  Cin 36: 0.846558
  Cin 37: 0.866211
  Cin 38: 0.782837
  Cin 39: 0.875854
  Cin 40: 0.767212
  Cin 41: 0.619507
  Cin 42: 0.665405
  Cin 43: 0.838135
  Cin 44: 0.716919
  Cin 45: 0.881104
  Cin 46: 0.728638
  Cin 47: 0.761230

File: patch_embed_proj_conv2_input.npy
Cin count: 96
Average sparsity: 0.876453
Cin sparsity per channel:
  Cin 0: 0.900513
  Cin 1: 0.899902
  Cin 2: 0.858887
  Cin 3: 0.919434
  Cin 4: 0.852295
  Cin 5: 0.838867
  Cin 6: 0.870483
  Cin 7: 0.912354
  Cin 8: 0.923706
  Cin 9: 0.867554
  Cin 10: 0.870728
  Cin 11: 0.902954
  Cin 12: 0.858643
  Cin 13: 0.895386
  Cin 14: 0.862549
  Cin 15: 0.864014
  Cin 16: 0.873169
  Cin 17: 0.896973
  Cin 18: 0.889282
  Cin 19: 0.832397
  Cin 20: 0.839111
  Cin 21: 0.881592
  Cin 22: 0.865845
  Cin 23: 0.868408
  Cin 24: 0.865479
  Cin 25: 0.856567
  Cin 26: 0.919189
  Cin 27: 0.777710
  Cin 28: 0.914673
  Cin 29: 0.909668
  Cin 30: 0.866699
  Cin 31: 0.845093
  Cin 32: 0.898682
